ticker,date_bulletin,cours,per,rendement,variation_annee,dividende_montant,dividende_date
ORGT,20251128,2455.0,,2.42,27.86,59.52,17-juil.-20
SAFC,20251128,3150.0,,,337.5,23.04,29-juil.-11
SIBC,20251128,5775.0,11.5,5.71,62.45,330.0,31-juil.-25
CABC,20251128,2300.0,11.12,4.9,121.15,112.72,2-juin-25
FTSC,20251128,2240.0,1.7,77.08,21.08,1726.56,30-sept.-25
SDSC,20251128,1470.0,3.8,6.26,9.7,92.0,29-août-25
SEMC,20251128,700.0,17.42,2.0,0.0,14.0,28-déc.-21
SIVC,20251128,715.0,6.97,,43.0,63.0,29-sept.-17
STAC,20251128,1095.0,,6.04,143.33,66.15,18-juil.-22
CIEC,20251128,2500.0,13.86,6.34,13.9,158.4,31-juil.-25
SDCC,20251128,6095.0,13.86,5.78,7.21,352.0,30-sept.-25
NTLC,20251231,10650.0,12.95,6.78,33.79,721.6,18-août-25
PALC,20251231,8100.0,7.89,5.57,62.0,451.45,10-sept.-25
TTLC,20251231,2335.0,15.68,8.38,-6.6,195.67,3-sept.-25
TTLS,20251231,2500.0,11.41,8.9,8.7,222.4,11-juil.-25
ECOC,20251231,16000.0,15.32,4.42,81.92,707.52,30-mai-25
NSBC,20251231,11445.0,7.43,5.84,61.42,668.15,9-juil.-25
SGBC,20251231,29895.0,9.19,5.51,42.36,1645.78,5-août-25
ONTBF,20251231,2485.0,8.21,7.63,8.28,189.53,21-juil.-25
ORAC,20251231,14250.0,13.57,4.63,-18.57,660.0,4-juin-25
SNTS,20251231,26120.0,6.64,6.34,8.83,1655.0,22-mai-25
SCRC,20251231,1060.0,8.02,3.82,36.77,40.5,20-août-21
SICC,20251231,3300.0,102.88,,-17.5,1919.0,25-sept.-00
SLBC,20251231,28900.0,22.16,3.71,123.17,1073.6,29-juil.-25
SOGC,20251231,7900.0,13.02,6.68,71.37,528.0,15-juil.-25
SPHC,20251231,7900.0,10.75,4.1,90.82,323.84,17-juil.-25
STBC,20251231,19780.0,7.94,10.6,170.96,2096.0,29-août-25
UNLC,20251231,34225.0,490.84,,428.57,1233.0,9-juil.-12
ABJC,20251231,2900.0,20.89,7.11,52.63,206.2,30-sept.-24
BNBC,20251231,1410.0,,10.64,32.39,150.0,24-juil.-23
CFAC,20251231,1430.0,55.26,0.49,138.33,7.04,19-août-25
LNBB,20251231,4295.0,11.97,6.41,-9.2,275.5,31-juil.-25
NEIC,20251231,1200.0,,6.82,60.0,81.78,25-juin-24
PRSC,20251231,3875.0,16.91,4.7,76.14,182.16,30-sept.-25
UNXC,20251231,1400.0,,4.34,241.46,60.75,29-juil.-22
SHEC,20251231,1445.0,17.0,5.21,64.2,75.29,22-oct.-25
SMBC,20251231,9500.0,8.51,6.48,10.4,616.0,15-sept.-25
BICB,20251231,4975.0,9.47,5.12,,254.6,15-sept.-25
BICC,20251231,19445.0,12.36,4.27,38.89,830.72,23-mai-25
BOAB,20251231,5850.0,12.08,8.0,58.75,468.0,3-juin-25
BOABF,20251231,3750.0,7.36,11.41,23.56,428.0,22-avr.-25
BOAC,20251231,7180.0,8.96,6.53,43.74,469.0,20-mai-25
BOAM,20251231,4000.0,12.03,5.93,111.64,237.15,3-juin-25
BOAN,20251231,2610.0,10.85,8.02,1.36,209.25,3-juin-25
BOAS,20251231,5240.0,9.44,6.68,66.35,350.0,2-juin-25
CBIBF,20251231,10780.0,7.2,5.15,9.05,555.0,7-juil.-25
ETIT,20251231,23.0,1.39,2.63,43.75,0.6,8-juin-23
ORGT,20251231,2400.0,,2.48,25.0,59.52,17-juil.-20
SAFC,20251231,3305.0,,,359.03,23.04,29-juil.-11
SIBC,20251231,5750.0,11.45,5.74,61.74,330.0,31-juil.-25
CABC,20251231,2360.0,11.41,4.78,126.92,112.72,2-juin-25
FTSC,20251231,2220.0,1.68,77.77,20.0,1726.56,30-sept.-25
SDSC,20251231,1515.0,3.91,6.07,13.06,92.0,29-août-25
SEMC,20251231,700.0,17.42,2.0,0.0,14.0,28-déc.-21
SIVC,20251231,1580.0,36.61,,216.0,63.0,29-sept.-17
STAC,20251231,1325.0,,4.99,194.44,66.15,18-juil.-22
