ticker,date_bulletin,volume_echange,valeur_echangee
SDSC,2019-03-29,1433.0,2710350.0
PALC,2019-03-29,405.0,607500.0
SCRC,2019-03-29,2213.0,1923725.0
SOGC,2019-03-29,7893.0,20577930.0
ABJC,2019-03-29,1410.0,2303450.0
CFAC,2019-03-29,10.0,5400.0
PRSC,2019-03-29,2.0,239835.0
SHEC,2019-03-29,400.0,368000.0
TTLC,2019-03-29,10475.0,15590925.0
TTLS,2019-03-29,463.0,624550.0
CABC,2019-04-30,150.0,143250.0
FTSC,2019-04-30,52.0,68900.0
NEIC,2019-04-30,157.0,43175.0
SIVC,2019-04-30,193.0,82990.0
SLBC,2019-04-30,2.0,74000.0
SMBC,2019-04-30,10000.0,48500000.0
STBC,2019-04-30,420.0,516600.0
UNXC,2019-04-30,77.0,192850.0
CIEC,2019-04-30,4909.0,6627150.0
ONTBF,2019-04-30,2720.0,11910000.0
SDCC,2019-04-30,9.0,28755.0
SNTS,2019-04-30,751.0,14498215.0
BICC,2019-04-30,30.0,127000.0
BOAB,2019-04-30,616.0,2627255.0
BOABF,2019-04-30,15.0,66150.0
BOAC,2019-04-30,1873.0,6872195.0
BOAM,2019-04-30,438.0,1304410.0
BOAN,2019-04-30,8151.0,36679500.0
BOAS,2019-04-30,5498.0,9870240.0
CBIBF,2019-04-30,830.0,6432125.0
ECOC,2019-04-30,42.0,149100.0
ETIT,2019-04-30,442544.0,7965792.0
NSBC,2019-04-30,330.0,1287050.0
ORGT,2019-04-30,10614.0,48960105.0
SGBC,2019-04-30,12481.0,99848095.0
SIBC,2019-04-30,217.0,607600.0
SDSC,2019-04-30,743.0,1308785.0
PALC,2019-04-30,26.0,31500.0
SCRC,2019-04-30,110.0,99785.0
SOGC,2019-04-30,1597.0,3784890.0
ABJC,2019-04-30,173.0,302750.0
CFAC,2019-04-30,5.0,2700.0
PRSC,2019-04-30,1.0,119500.0
SHEC,2019-04-30,144.0,148700.0
TTLC,2019-04-30,4345.0,6649175.0
TTLS,2019-04-30,791.0,1140380.0
STAC,2019-04-30,300.0,54000.0
FTSC,2019-05-31,271.0,387020.0
NEIC,2019-05-31,370.0,88800.0
NTLC,2019-05-31,1.0,945.0
SIVC,2019-05-31,429.0,178530.0
SLBC,2019-05-31,50.0,1585000.0
SMBC,2019-05-31,2586.0,11640000.0
UNLC,2019-05-31,8.0,36000.0
UNXC,2019-05-31,36.0,88920.0
CIEC,2019-05-31,8814.0,12910200.0
ONTBF,2019-05-31,3361.0,13657730.0
SDCC,2019-05-31,31.0,98580.0
SNTS,2019-05-31,8809.0,149424820.0
BICC,2019-05-31,1977.0,8473900.0
BOAB,2019-05-31,555.0,1859400.0
BOABF,2019-05-31,120.0,451400.0
BOAC,2019-05-31,48.0,143240.0
BOAN,2019-05-31,2041.0,7328950.0
