sha256,nom_fichier,url,periode
0e4510bd8cf904f147599d130920cd9e036473c3017fd9bedfe44ee58c6dd494,2e08b14a_20100716_-_ra_-_movis_ci_-_exercice_2009_sivom_ci.pdf,https://www.brvm.org/sites/default/files/20100716_-_ra_-_movis_ci_-_exercice_2009_sivom_ci.pdf,2010
f95d7f5047883d0f2c9bdab92bcabf8573c9adad5f5e3d09b0ffe1bd12c9fae4,a0599364_20221102_-_attestation_des_commissaires_aux_comptes_-_1er_semestre_2022_-_total_ci.pdf,https://www.brvm.org/sites/default/files/20221102_-_attestation_des_commissaires_aux_comptes_-_1er_semestre_2022_-_total_ci.pdf,2022
8bca6f316b11972eb3e9f7de98563074d4d1be69c9a42788b0463b174bc9a0bc,080b112e_20091016_-_ra_-_trituraf_ci_-_exercice_2004.pdf,https://www.brvm.org/sites/default/files/20091016_-_ra_-_trituraf_ci_-_exercice_2004.pdf,divers
9a2b0e7f3190789ab40cf58469ea0882a223def4fb6a606ead971e46f0080c2d,b0899d1e_20090925_-_ra_-_trituraf_ci_-_exercice_2003.pdf,https://www.brvm.org/sites/default/files/20090925_-_ra_-_trituraf_ci_-_exercice_2003.pdf,divers
ad951a22a73a086e85e17cab237fa0288f6d2c126f991b1dc9f9a7dae11ea2a8,39cd6a08_20090925_-_ra_-_trituraf_ci_-_exercice_2002.pdf,https://www.brvm.org/sites/default/files/20090925_-_ra_-_trituraf_ci_-_exercice_2002.pdf,divers
8489c101fe8ce3dfc6ff04c2b5836e1924490f7b7b87df04e2cd1ffd94d53f84,2d900732_20090918_-_efp_-_trituraf_ci_-_exercice_2004.pdf,https://www.brvm.org/sites/default/files/20090918_-_efp_-_trituraf_ci_-_exercice_2004.pdf,divers
7dc7a5424de359dbdc4c0a1b5f62f618fbd91013110851b2deab402035a2a314,4ae5528b_20090530_-_ra_-_trituraf_ci_-_exercice_1998.pdf,https://www.brvm.org/sites/default/files/20090530_-_ra_-_trituraf_ci_-_exercice_1998.pdf,divers
4752882d212eebdd0dd3d29bbaa1d8fcbf501d9977449add625757112767793d,95c12c91_20090530_-_ra_-_trituraf_ci_-_exercice_1999.pdf,https://www.brvm.org/sites/default/files/20090530_-_ra_-_trituraf_ci_-_exercice_1999.pdf,divers
3380d62599705c23407501b9a6895d5902689b354599317f9c88232c8e245645,4ae2a046_20090530_-_ra_-_trituraf_ci_-_exercice_2000.pdf,https://www.brvm.org/sites/default/files/20090530_-_ra_-_trituraf_ci_-_exercice_2000.pdf,divers
997cc51c474374327e464a66880a9c9b0ac349ed0afdbbeb70721f6c00bc849d,a6b47d65_20090530_-_ra_-_trituraf_ci_-_exercice_2001.pdf,https://www.brvm.org/sites/default/files/20090530_-_ra_-_trituraf_ci_-_exercice_2001.pdf,divers
5d677f552fc4ec609ff39096d5a2a9690be50e0b8e2bf598d46feca0d8a87db3,f7187b92_publication_1er_trimestre_2017.pdf,https://www.brvm.org/sites/default/files/publication_1er_trimestre_2017.pdf,2017
